$WITHDRAWAL AT SEG317                                        ELEV OF WITHDRAWAL CENTERLINE:363.     

JDAY,     %DO,  TDG(%),
     4.550,  -99.0000,  -99.0000,
     4.600,  -99.0000,  -99.0000,
     4.650,  -99.0000,  -99.0000,
     4.700,  -99.0000,  -99.0000,
     4.750,  -99.0000,  -99.0000,
     4.800,  -99.0000,  -99.0000,
     4.850,  -99.0000,  -99.0000,
     4.900,  -99.0000,  -99.0000,
     4.950,  -99.0000,  -99.0000,
     5.000,  -99.0000,  -99.0000,
     5.050,  -99.0000,  -99.0000,
     5.100,  -99.0000,  -99.0000,
     5.150,  -99.0000,  -99.0000,
     5.200,  -99.0000,  -99.0000,
     5.250,  -99.0000,  -99.0000,
     5.300,  -99.0000,  -99.0000,
     5.350,  -99.0000,  -99.0000,
     5.400,  -99.0000,  -99.0000,
     5.450,  -99.0000,  -99.0000,
     5.500,  -99.0000,  -99.0000,
     5.550,  -99.0000,  -99.0000,
     5.600,  -99.0000,  -99.0000,
     5.650,  -99.0000,  -99.0000,
     5.700,  -99.0000,  -99.0000,
     5.750,  -99.0000,  -99.0000,
     5.800,  -99.0000,  -99.0000,
     5.850,  -99.0000,  -99.0000,
     5.900,  -99.0000,  -99.0000,
     5.950,  -99.0000,  -99.0000,
     6.000,  -99.0000,  -99.0000,
     6.050,  -99.0000,  -99.0000,
     6.100,  -99.0000,  -99.0000,
     6.150,  -99.0000,  -99.0000,
     6.200,  -99.0000,  -99.0000,
     6.250,  -99.0000,  -99.0000,
     6.300,  -99.0000,  -99.0000,
     6.350,  -99.0000,  -99.0000,
     6.400,  -99.0000,  -99.0000,
     6.450,  -99.0000,  -99.0000,
     6.500,  -99.0000,  -99.0000,
     6.550,  -99.0000,  -99.0000,
     6.600,  -99.0000,  -99.0000,
     6.650,  -99.0000,  -99.0000,
     6.700,  -99.0000,  -99.0000,
     6.750,  -99.0000,  -99.0000,
     6.800,  -99.0000,  -99.0000,
     6.850,  -99.0000,  -99.0000,
     6.900,  -99.0000,  -99.0000,
     6.950,  -99.0000,  -99.0000,
     7.000,  -99.0000,  -99.0000,
     7.050,  -99.0000,  -99.0000,
     7.100,  -99.0000,  -99.0000,
     7.150,  -99.0000,  -99.0000,
     7.200,  -99.0000,  -99.0000,
     7.250,  -99.0000,  -99.0000,
     7.300,  -99.0000,  -99.0000,
     7.350,  -99.0000,  -99.0000,
     7.400,  -99.0000,  -99.0000,
     7.450,  -99.0000,  -99.0000,
     7.500,  -99.0000,  -99.0000,
     7.550,  -99.0000,  -99.0000,
     7.600,  -99.0000,  -99.0000,
     7.650,  -99.0000,  -99.0000,
     7.700,  -99.0000,  -99.0000,
     7.750,  -99.0000,  -99.0000,
     7.800,  -99.0000,  -99.0000,
     7.850,  -99.0000,  -99.0000,
     7.900,  -99.0000,  -99.0000,
     7.950,  -99.0000,  -99.0000,
     8.000,  -99.0000,  -99.0000,
     8.050,  -99.0000,  -99.0000,
     8.100,  -99.0000,  -99.0000,
     8.150,  -99.0000,  -99.0000,
     8.200,  -99.0000,  -99.0000,
     8.250,  -99.0000,  -99.0000,
     8.300,  -99.0000,  -99.0000,
     8.350,  -99.0000,  -99.0000,
     8.400,  -99.0000,  -99.0000,
     8.450,  -99.0000,  -99.0000,
     8.500,  -99.0000,  -99.0000,
     8.550,  -99.0000,  -99.0000,
     8.600,  -99.0000,  -99.0000,
     8.650,  -99.0000,  -99.0000,
     8.700,  -99.0000,  -99.0000,
     8.750,  -99.0000,  -99.0000,
     8.800,  -99.0000,  -99.0000,
     8.850,  -99.0000,  -99.0000,
     8.900,  -99.0000,  -99.0000,
     8.950,  -99.0000,  -99.0000,
     9.000,  -99.0000,  -99.0000,
     9.050,  -99.0000,  -99.0000,
     9.100,  -99.0000,  -99.0000,
     9.150,  -99.0000,  -99.0000,
     9.200,  -99.0000,  -99.0000,
     9.250,  -99.0000,  -99.0000,
     9.300,  -99.0000,  -99.0000,
     9.350,  -99.0000,  -99.0000,
     9.400,  -99.0000,  -99.0000,
     9.450,  -99.0000,  -99.0000,
     9.500,  -99.0000,  -99.0000,
     9.550,  -99.0000,  -99.0000,
     9.600,  -99.0000,  -99.0000,
     9.650,  -99.0000,  -99.0000,
     9.700,  -99.0000,  -99.0000,
     9.750,  -99.0000,  -99.0000,
     9.800,  -99.0000,  -99.0000,
     9.850,  -99.0000,  -99.0000,
     9.900,  -99.0000,  -99.0000,
     9.950,  -99.0000,  -99.0000,
    10.000,  -99.0000,  -99.0000,
    10.050,  -99.0000,  -99.0000,
    10.100,  -99.0000,  -99.0000,
    10.150,  -99.0000,  -99.0000,
    10.200,  -99.0000,  -99.0000,
    10.250,  -99.0000,  -99.0000,
    10.300,  -99.0000,  -99.0000,
    10.350,  -99.0000,  -99.0000,
    10.400,  -99.0000,  -99.0000,
    10.450,  -99.0000,  -99.0000,
    10.500,  -99.0000,  -99.0000,
    10.550,  -99.0000,  -99.0000,
    10.600,  -99.0000,  -99.0000,
    10.650,  -99.0000,  -99.0000,
    10.700,  -99.0000,  -99.0000,
    10.750,  -99.0000,  -99.0000,
    10.800,  -99.0000,  -99.0000,
    10.850,  -99.0000,  -99.0000,
    10.900,  -99.0000,  -99.0000,
    10.950,  -99.0000,  -99.0000,
    11.000,  -99.0000,  -99.0000,
    11.050,  -99.0000,  -99.0000,
    11.100,  -99.0000,  -99.0000,
    11.150,  -99.0000,  -99.0000,
    11.200,  -99.0000,  -99.0000,
    11.250,  -99.0000,  -99.0000,
    11.300,  -99.0000,  -99.0000,
    11.350,  -99.0000,  -99.0000,
    11.400,  -99.0000,  -99.0000,
    11.450,  -99.0000,  -99.0000,
    11.500,  -99.0000,  -99.0000,
    11.550,  -99.0000,  -99.0000,
    11.600,  -99.0000,  -99.0000,
    11.650,  -99.0000,  -99.0000,
    11.700,  -99.0000,  -99.0000,
    11.750,  -99.0000,  -99.0000,
    11.800,  -99.0000,  -99.0000,
    11.850,  -99.0000,  -99.0000,
    11.900,  -99.0000,  -99.0000,
    11.950,  -99.0000,  -99.0000,
    12.000,  -99.0000,  -99.0000,
    12.050,  -99.0000,  -99.0000,
    12.100,  -99.0000,  -99.0000,
    12.150,  -99.0000,  -99.0000,
    12.200,  -99.0000,  -99.0000,
    12.250,  -99.0000,  -99.0000,
    12.300,  -99.0000,  -99.0000,
    12.350,  -99.0000,  -99.0000,
    12.400,  -99.0000,  -99.0000,
    12.450,  -99.0000,  -99.0000,
    12.500,  -99.0000,  -99.0000,
    12.550,  -99.0000,  -99.0000,
    12.600,  -99.0000,  -99.0000,
    12.650,  -99.0000,  -99.0000,
    12.700,  -99.0000,  -99.0000,
    12.750,  -99.0000,  -99.0000,
    12.800,  -99.0000,  -99.0000,
    12.850,  -99.0000,  -99.0000,
    12.900,  -99.0000,  -99.0000,
    12.950,  -99.0000,  -99.0000,
    13.000,  -99.0000,  -99.0000,
    13.050,  -99.0000,  -99.0000,
    13.100,  -99.0000,  -99.0000,
    13.150,  -99.0000,  -99.0000,
    13.200,  -99.0000,  -99.0000,
    13.250,  -99.0000,  -99.0000,
    13.300,  -99.0000,  -99.0000,
    13.350,  -99.0000,  -99.0000,
    13.400,  -99.0000,  -99.0000,
    13.450,  -99.0000,  -99.0000,
    13.500,  -99.0000,  -99.0000,
    13.550,  -99.0000,  -99.0000,
    13.600,  -99.0000,  -99.0000,
    13.650,  -99.0000,  -99.0000,
    13.700,  -99.0000,  -99.0000,
    13.750,  -99.0000,  -99.0000,
    13.800,  -99.0000,  -99.0000,
    13.850,  -99.0000,  -99.0000,
    13.900,  -99.0000,  -99.0000,
    13.950,  -99.0000,  -99.0000,
    14.000,  -99.0000,  -99.0000,
    14.050,  -99.0000,  -99.0000,
    14.100,  -99.0000,  -99.0000,
    14.150,  -99.0000,  -99.0000,
    14.200,  -99.0000,  -99.0000,
    14.250,  -99.0000,  -99.0000,
    14.300,  -99.0000,  -99.0000,
    14.350,  -99.0000,  -99.0000,
    14.400,  -99.0000,  -99.0000,
    14.450,  -99.0000,  -99.0000,
    14.500,  -99.0000,  -99.0000,
    14.550,  -99.0000,  -99.0000,
    14.600,  -99.0000,  -99.0000,
    14.650,  -99.0000,  -99.0000,
    14.700,  -99.0000,  -99.0000,
    14.750,  -99.0000,  -99.0000,
    14.800,  -99.0000,  -99.0000,
    14.850,  -99.0000,  -99.0000,
    14.900,  -99.0000,  -99.0000,
    14.950,  -99.0000,  -99.0000,
    15.000,  -99.0000,  -99.0000,
    15.050,  -99.0000,  -99.0000,
    15.100,  -99.0000,  -99.0000,
    15.150,  -99.0000,  -99.0000,
    15.200,  -99.0000,  -99.0000,
    15.250,  -99.0000,  -99.0000,
    15.300,  -99.0000,  -99.0000,
    15.350,  -99.0000,  -99.0000,
    15.400,  -99.0000,  -99.0000,
    15.450,  -99.0000,  -99.0000,
    15.500,  -99.0000,  -99.0000,
    15.550,  -99.0000,  -99.0000,
    15.600,  -99.0000,  -99.0000,
    15.650,  -99.0000,  -99.0000,
    15.700,  -99.0000,  -99.0000,
    15.750,  -99.0000,  -99.0000,
    15.800,  -99.0000,  -99.0000,
    15.850,  -99.0000,  -99.0000,
    15.900,  -99.0000,  -99.0000,
    15.950,  -99.0000,  -99.0000,
    16.000,  -99.0000,  -99.0000,
    16.050,  -99.0000,  -99.0000,
    16.100,  -99.0000,  -99.0000,
    16.150,  -99.0000,  -99.0000,
    16.200,  -99.0000,  -99.0000,
    16.250,  -99.0000,  -99.0000,
    16.300,  -99.0000,  -99.0000,
    16.350,  -99.0000,  -99.0000,
    16.400,  -99.0000,  -99.0000,
    16.450,  -99.0000,  -99.0000,
    16.500,  -99.0000,  -99.0000,
    16.550,  -99.0000,  -99.0000,
    16.600,  -99.0000,  -99.0000,
    16.650,  -99.0000,  -99.0000,
    16.700,  -99.0000,  -99.0000,
    16.750,  -99.0000,  -99.0000,
    16.800,  -99.0000,  -99.0000,
    16.850,   96.4657,   99.5628,
    16.900,   96.4753,   99.5866,
    16.950,   96.4722,   99.5559,
    17.000,   96.4689,   99.5304,
    17.050,   96.4557,   99.5141,
    17.100,   96.4532,   99.5077,
    17.150,   96.4508,   99.5252,
    17.200,   96.4495,   99.5107,
    17.250,   96.4474,   99.4999,
    17.300,  -99.0000,  -99.0000,
    17.350,  -99.0000,  -99.0000,
    17.400,  -99.0000,  -99.0000,
    17.450,   96.4435,   99.5066,
    17.500,   96.4541,   99.4582,
    17.550,   96.4769,   99.4730,
    17.600,   96.4943,   99.4778,
    17.650,   96.5026,   99.4761,
    17.700,   96.4992,   99.4508,
    17.750,   96.4502,   99.4025,
    17.800,  -99.0000,  -99.0000,
    17.850,  -99.0000,  -99.0000,
    17.900,  -99.0000,  -99.0000,
    17.950,   96.4632,   99.3569,
    18.000,   96.4478,   99.3756,
    18.050,   96.4437,   99.3884,
    18.100,   96.4403,   99.3254,
    18.150,   96.4369,   99.3686,
    18.200,   96.4330,   99.3317,
    18.250,   96.4289,   99.3337,
    18.300,   96.4253,   99.3381,
    18.350,   96.4229,   99.3308,
    18.400,   96.4220,   99.3372,
    18.450,   96.4240,   99.3411,
    18.500,  -99.0000,  -99.0000,
    18.550,  -99.0000,  -99.0000,
    18.600,  -99.0000,  -99.0000,
    18.650,  -99.0000,  -99.0000,
    18.700,  -99.0000,  -99.0000,
    18.750,  -99.0000,  -99.0000,
    18.800,  -99.0000,  -99.0000,
    18.850,  -99.0000,  -99.0000,
    18.900,   96.4942,   99.2841,
    18.950,   96.4707,   99.2527,
    19.000,   96.4598,   99.2317,
    19.050,   96.4503,   99.2179,
    19.100,   96.4571,   99.2129,
    19.150,   96.4548,   99.1857,
    19.200,   96.4500,   99.1618,
    19.250,   96.4423,   99.1406,
    19.300,  -99.0000,  -99.0000,
    19.350,  -99.0000,  -99.0000,
    19.400,  -99.0000,  -99.0000,
    19.450,  -99.0000,  -99.0000,
    19.500,  -99.0000,  -99.0000,
    19.550,  -99.0000,  -99.0000,
    19.600,  -99.0000,  -99.0000,
    19.650,  -99.0000,  -99.0000,
    19.700,  -99.0000,  -99.0000,
    19.750,  -99.0000,  -99.0000,
    19.800,  -99.0000,  -99.0000,
    19.850,  -99.0000,  -99.0000,
    19.900,   96.4014,   99.1295,
    19.950,   96.3902,   99.1319,
    20.000,   96.3827,   99.1270,
    20.050,   96.3759,   99.1137,
    20.100,   96.3698,   99.1450,
    20.150,   96.3648,   99.1395,
    20.200,   96.3604,   99.1550,
    20.250,  -99.0000,  -99.0000,
    20.300,  -99.0000,  -99.0000,
    20.350,   96.3478,   99.1701,
    20.400,  -99.0000,  -99.0000,
    20.450,  -99.0000,  -99.0000,
    20.500,  -99.0000,  -99.0000,
    20.550,  -99.0000,  -99.0000,
    20.600,  -99.0000,  -99.0000,
    20.650,  -99.0000,  -99.0000,
    20.700,  -99.0000,  -99.0000,
    20.750,  -99.0000,  -99.0000,
    20.800,  -99.0000,  -99.0000,
    20.850,  -99.0000,  -99.0000,
    20.900,  -99.0000,  -99.0000,
    20.950,  -99.0000,  -99.0000,
    21.000,  -99.0000,  -99.0000,
    21.050,  -99.0000,  -99.0000,
    21.100,  -99.0000,  -99.0000,
    21.150,  -99.0000,  -99.0000,
    21.200,  -99.0000,  -99.0000,
    21.250,  -99.0000,  -99.0000,
    21.300,  -99.0000,  -99.0000,
    21.350,  -99.0000,  -99.0000,
    21.400,  -99.0000,  -99.0000,
    21.450,  -99.0000,  -99.0000,
    21.500,  -99.0000,  -99.0000,
    21.550,  -99.0000,  -99.0000,
    21.600,  -99.0000,  -99.0000,
    21.650,  -99.0000,  -99.0000,
    21.700,  -99.0000,  -99.0000,
    21.750,  -99.0000,  -99.0000,
    21.800,  -99.0000,  -99.0000,
    21.850,  -99.0000,  -99.0000,
    21.900,  -99.0000,  -99.0000,
    21.950,  -99.0000,  -99.0000,
    22.000,  -99.0000,  -99.0000,
    22.050,  -99.0000,  -99.0000,
    22.100,  -99.0000,  -99.0000,
    22.150,  -99.0000,  -99.0000,
    22.200,  -99.0000,  -99.0000,
    22.250,  -99.0000,  -99.0000,
    22.300,  -99.0000,  -99.0000,
    22.350,  -99.0000,  -99.0000,
    22.400,  -99.0000,  -99.0000,
    22.450,  -99.0000,  -99.0000,
    22.500,  -99.0000,  -99.0000,
    22.550,  -99.0000,  -99.0000,
    22.600,  -99.0000,  -99.0000,
    22.650,  -99.0000,  -99.0000,
    22.700,  -99.0000,  -99.0000,
    22.750,  -99.0000,  -99.0000,
    22.800,  -99.0000,  -99.0000,
    22.850,  -99.0000,  -99.0000,
    22.900,  -99.0000,  -99.0000,
    22.950,  -99.0000,  -99.0000,
    23.000,  -99.0000,  -99.0000,
    23.050,  -99.0000,  -99.0000,
    23.100,  -99.0000,  -99.0000,
    23.150,  -99.0000,  -99.0000,
    23.200,  -99.0000,  -99.0000,
    23.250,   96.1876,   99.0324,
    23.300,   96.1872,   99.0231,
    23.350,   96.1797,   99.0180,
    23.400,   96.1701,   99.0193,
    23.450,   96.1693,   99.0111,
    23.500,   96.1800,   99.0522,
    23.550,   96.1939,   99.0783,
    23.600,   96.2028,   99.0922,
    23.650,   96.2097,   99.1008,
    23.700,   96.2101,   99.0960,
    23.750,   96.2024,   99.0727,
    23.800,   96.1911,   99.0387,
    23.850,   96.1798,   99.0455,
    23.900,   96.1700,   99.0234,
    23.950,   96.1608,   99.0164,
    24.000,   96.1418,   98.9867,
    24.050,   96.1359,   98.9800,
    24.100,   96.1307,   98.9465,
    24.150,   96.1255,   98.9336,
    24.200,   96.1207,   98.9332,
    24.250,   96.1150,   98.9071,
    24.300,  -99.0000,  -99.0000,
    24.350,  -99.0000,  -99.0000,
    24.400,  -99.0000,  -99.0000,
    24.450,  -99.0000,  -99.0000,
    24.500,  -99.0000,  -99.0000,
    24.550,  -99.0000,  -99.0000,
    24.600,  -99.0000,  -99.0000,
    24.650,  -99.0000,  -99.0000,
    24.700,  -99.0000,  -99.0000,
    24.750,  -99.0000,  -99.0000,
    24.800,  -99.0000,  -99.0000,
    24.850,  -99.0000,  -99.0000,
    24.900,   96.1747,   99.0025,
    24.950,   96.1514,   98.9993,
    25.000,   96.1341,   98.9921,
    25.050,   96.1210,   98.9761,
    25.100,   96.1107,   98.9741,
    25.150,   96.1020,   98.9726,
    25.200,   96.0935,   98.9709,
    25.250,   96.0881,   98.9680,
    25.300,   96.0843,   98.9620,
    25.350,  -99.0000,  -99.0000,
    25.400,  -99.0000,  -99.0000,
    25.450,  -99.0000,  -99.0000,
    25.500,  -99.0000,  -99.0000,
    25.550,  -99.0000,  -99.0000,
    25.600,  -99.0000,  -99.0000,
    25.650,  -99.0000,  -99.0000,
    25.700,  -99.0000,  -99.0000,
    25.750,  -99.0000,  -99.0000,
    25.800,  -99.0000,  -99.0000,
    25.850,  -99.0000,  -99.0000,
    25.900,  -99.0000,  -99.0000,
    25.950,  -99.0000,  -99.0000,
    26.000,  -99.0000,  -99.0000,
    26.050,  -99.0000,  -99.0000,
    26.100,  -99.0000,  -99.0000,
    26.150,  -99.0000,  -99.0000,
    26.200,  -99.0000,  -99.0000,
    26.250,  -99.0000,  -99.0000,
    26.300,  -99.0000,  -99.0000,
    26.350,  -99.0000,  -99.0000,
    26.400,  -99.0000,  -99.0000,
    26.450,  -99.0000,  -99.0000,
    26.500,  -99.0000,  -99.0000,
    26.550,  -99.0000,  -99.0000,
    26.600,  -99.0000,  -99.0000,
    26.650,  -99.0000,  -99.0000,
    26.700,  -99.0000,  -99.0000,
    26.750,  -99.0000,  -99.0000,
    26.800,  -99.0000,  -99.0000,
    26.850,  -99.0000,  -99.0000,
    26.900,  -99.0000,  -99.0000,
    26.950,  -99.0000,  -99.0000,
    27.000,  -99.0000,  -99.0000,
    27.050,  -99.0000,  -99.0000,
    27.100,  -99.0000,  -99.0000,
    27.150,  -99.0000,  -99.0000,
    27.200,  -99.0000,  -99.0000,
    27.250,  -99.0000,  -99.0000,
    27.300,  -99.0000,  -99.0000,
    27.350,  -99.0000,  -99.0000,
    27.400,  -99.0000,  -99.0000,
    27.450,  -99.0000,  -99.0000,
    27.500,  -99.0000,  -99.0000,
    27.550,  -99.0000,  -99.0000,
    27.600,  -99.0000,  -99.0000,
    27.650,  -99.0000,  -99.0000,
    27.700,  -99.0000,  -99.0000,
    27.750,  -99.0000,  -99.0000,
    27.800,  -99.0000,  -99.0000,
    27.850,  -99.0000,  -99.0000,
    27.900,  -99.0000,  -99.0000,
    27.950,  -99.0000,  -99.0000,
    28.000,  -99.0000,  -99.0000,
    28.050,  -99.0000,  -99.0000,
    28.100,  -99.0000,  -99.0000,
    28.150,  -99.0000,  -99.0000,
    28.200,  -99.0000,  -99.0000,
    28.250,  -99.0000,  -99.0000,
    28.300,  -99.0000,  -99.0000,
    28.350,  -99.0000,  -99.0000,
    28.400,  -99.0000,  -99.0000,
    28.450,  -99.0000,  -99.0000,
    28.500,  -99.0000,  -99.0000,
    28.550,  -99.0000,  -99.0000,
    28.600,  -99.0000,  -99.0000,
    28.650,  -99.0000,  -99.0000,
    28.700,  -99.0000,  -99.0000,
    28.750,  -99.0000,  -99.0000,
    28.800,  -99.0000,  -99.0000,
    28.850,  -99.0000,  -99.0000,
    28.900,  -99.0000,  -99.0000,
    28.950,  -99.0000,  -99.0000,
    29.000,  -99.0000,  -99.0000,
    29.050,  -99.0000,  -99.0000,
    29.100,  -99.0000,  -99.0000,
    29.150,  -99.0000,  -99.0000,
    29.201,  -99.0000,  -99.0000,
    29.250,  -99.0000,  -99.0000,
    29.300,  -99.0000,  -99.0000,
    29.350,  -99.0000,  -99.0000,
    29.400,  -99.0000,  -99.0000,
    29.450,  -99.0000,  -99.0000,
    29.500,  -99.0000,  -99.0000,
    29.550,  -99.0000,  -99.0000,
    29.600,  -99.0000,  -99.0000,
    29.650,  -99.0000,  -99.0000,
    29.700,  -99.0000,  -99.0000,
    29.750,  -99.0000,  -99.0000,
    29.800,  -99.0000,  -99.0000,
    29.850,  -99.0000,  -99.0000,
    29.900,  -99.0000,  -99.0000,
    29.950,  -99.0000,  -99.0000,
    30.000,  -99.0000,  -99.0000,
    30.050,  -99.0000,  -99.0000,
    30.100,  -99.0000,  -99.0000,
    30.150,  -99.0000,  -99.0000,
    30.200,  -99.0000,  -99.0000,
    30.250,  -99.0000,  -99.0000,
    30.300,  -99.0000,  -99.0000,
    30.350,  -99.0000,  -99.0000,
    30.400,  -99.0000,  -99.0000,
    30.450,  -99.0000,  -99.0000,
    30.500,  -99.0000,  -99.0000,
    30.550,  -99.0000,  -99.0000,
    30.600,  -99.0000,  -99.0000,
    30.650,  -99.0000,  -99.0000,
    30.700,  -99.0000,  -99.0000,
    30.750,  -99.0000,  -99.0000,
    30.800,  -99.0000,  -99.0000,
    30.850,  -99.0000,  -99.0000,
    30.900,  -99.0000,  -99.0000,
    30.950,  -99.0000,  -99.0000,
    31.000,  -99.0000,  -99.0000,
    31.050,  -99.0000,  -99.0000,
    31.100,  -99.0000,  -99.0000,
    31.150,  -99.0000,  -99.0000,
    31.200,  -99.0000,  -99.0000,
    31.250,  -99.0000,  -99.0000,
    31.300,  -99.0000,  -99.0000,
    31.350,  -99.0000,  -99.0000,
    31.400,  -99.0000,  -99.0000,
    31.450,  -99.0000,  -99.0000,
    31.500,  -99.0000,  -99.0000,
    31.550,  -99.0000,  -99.0000,
    31.600,  -99.0000,  -99.0000,
    31.650,  -99.0000,  -99.0000,
    31.700,  -99.0000,  -99.0000,
    31.750,  -99.0000,  -99.0000,
    31.800,  -99.0000,  -99.0000,
    31.850,  -99.0000,  -99.0000,
    31.900,  -99.0000,  -99.0000,
    31.950,  -99.0000,  -99.0000,
    32.000,  -99.0000,  -99.0000,
    32.050,  -99.0000,  -99.0000,
    32.100,  -99.0000,  -99.0000,
    32.150,  -99.0000,  -99.0000,
    32.200,  -99.0000,  -99.0000,
    32.250,  -99.0000,  -99.0000,
    32.300,  -99.0000,  -99.0000,
    32.350,  -99.0000,  -99.0000,
    32.400,  -99.0000,  -99.0000,
    32.450,  -99.0000,  -99.0000,
    32.500,  -99.0000,  -99.0000,
    32.550,  -99.0000,  -99.0000,
    32.600,  -99.0000,  -99.0000,
    32.650,  -99.0000,  -99.0000,
    32.700,  -99.0000,  -99.0000,
    32.750,  -99.0000,  -99.0000,
    32.800,  -99.0000,  -99.0000,
    32.850,  -99.0000,  -99.0000,
    32.900,  -99.0000,  -99.0000,
    32.950,  -99.0000,  -99.0000,
    33.000,  -99.0000,  -99.0000,
    33.050,  -99.0000,  -99.0000,
    33.100,  -99.0000,  -99.0000,
    33.150,  -99.0000,  -99.0000,
    33.200,  -99.0000,  -99.0000,
    33.250,  -99.0000,  -99.0000,
    33.300,  -99.0000,  -99.0000,
    33.350,  -99.0000,  -99.0000,
    33.400,  -99.0000,  -99.0000,
    33.450,  -99.0000,  -99.0000,
    33.500,  -99.0000,  -99.0000,
    33.550,  -99.0000,  -99.0000,
    33.600,  -99.0000,  -99.0000,
    33.650,  -99.0000,  -99.0000,
    33.700,  -99.0000,  -99.0000,
    33.750,  -99.0000,  -99.0000,
    33.800,  -99.0000,  -99.0000,
    33.850,  -99.0000,  -99.0000,
    33.900,  -99.0000,  -99.0000,
    33.950,  -99.0000,  -99.0000,
    34.000,  -99.0000,  -99.0000,
    34.050,  -99.0000,  -99.0000,
    34.100,  -99.0000,  -99.0000,
    34.150,  -99.0000,  -99.0000,
    34.200,  -99.0000,  -99.0000,
    34.250,  -99.0000,  -99.0000,
    34.300,  -99.0000,  -99.0000,
    34.350,  -99.0000,  -99.0000,
    34.400,  -99.0000,  -99.0000,
    34.450,  -99.0000,  -99.0000,
    34.500,  -99.0000,  -99.0000,
    34.550,  -99.0000,  -99.0000,
    34.600,  -99.0000,  -99.0000,
    34.650,  -99.0000,  -99.0000,
    34.700,  -99.0000,  -99.0000,
    34.750,  -99.0000,  -99.0000,
    34.800,  -99.0000,  -99.0000,
    34.850,  -99.0000,  -99.0000,
    34.900,  -99.0000,  -99.0000,
    34.950,  -99.0000,  -99.0000,
    35.000,  -99.0000,  -99.0000,
    35.050,  -99.0000,  -99.0000,
    35.100,  -99.0000,  -99.0000,
    35.150,  -99.0000,  -99.0000,
    35.200,  -99.0000,  -99.0000,
    35.250,  -99.0000,  -99.0000,
    35.300,  -99.0000,  -99.0000,
    35.350,  -99.0000,  -99.0000,
    35.400,  -99.0000,  -99.0000,
    35.450,  -99.0000,  -99.0000,
    35.500,  -99.0000,  -99.0000,
    35.550,  -99.0000,  -99.0000,
    35.600,  -99.0000,  -99.0000,
    35.650,  -99.0000,  -99.0000,
    35.700,  -99.0000,  -99.0000,
    35.750,  -99.0000,  -99.0000,
    35.800,  -99.0000,  -99.0000,
    35.850,  -99.0000,  -99.0000,
    35.900,  -99.0000,  -99.0000,
    35.950,  -99.0000,  -99.0000,
